blood_pixels,blood_coverage,int_mean,int_std,int_min,int_max,int_median,int_p10,int_p90,int_cv,int_entropy,mist_frac_pixels,dark_core_frac_pixels,total_stains,mean_area,median_area,std_area,max_area,stains_per_Mpx,dominant_ratio,top3_ratio,frac_small,frac_large,num_passive_like,frac_passive_like,dist_mean_norm,dist_std_norm,dist_mean_intw,dist_std_intw,r50_norm,r90_norm,radial_density_slope,outer_pixel_frac,outer_inner_density_ratio,mean_aspect_small,mean_aspect_large,frac_elongated_small,frac_elongated_all,elong_orientation_std_deg,elong_outer_frac,nn_mean_norm,nn_std_norm,mean_R,mean_G,mean_B,mean_S,mean_V,mean_Rdom,path,label
394444.0,0.007868736035748483,153.40277099609375,53.558528900146484,15.0,247.0,155.0,77.0,226.0,0.34913664338158307,0.9582325891156366,0.30128231130401273,0.3032420318220077,9758.0,40.42262758762041,14.0,111.00808781777143,4610.0,194.66166613469517,0.011687337112492521,0.02835890519313261,0.34023365443738474,0.2532281205164993,3338.0,0.34207829473252716,0.08381979270896457,0.04550215186515698,0.0840107847897662,0.045303627013875004,0.08085967764258212,0.13556995475441266,-25.822882081439822,0.5068349372788026,0.056670942825754536,0.9273770785580897,0.8113091199585148,0.010843373493975903,0.06046320967411355,24.547274466617917,0.05912863070539419,0.0025725455178377617,0.0032604052290224803,196.501123099857,138.29328117552808,118.14494072669378,111.94078246848728,196.501123099857,132.12787112999564,C:\BPA\data\Gunshot\GS - 100.jpg,gunshot
402180.0,0.008023060963932334,145.99940490722656,58.637508392333984,13.0,247.0,148.0,62.0,225.0,0.40162840408812644,0.9726540756951372,0.30443831120393855,0.30020388880600724,10078.0,39.90672752530264,14.0,108.77408049624009,4364.0,201.04532397063517,0.01085086279775225,0.027142075687503108,0.3435205397896408,0.250049613018456,3427.0,0.3400476284977178,0.0839367531802525,0.04589878050058709,0.08418067865680007,0.04573603547467826,0.08080426729685145,0.13594308919807171,-25.26173818131045,0.5060818538962654,0.056514600168903834,0.927398838098325,0.8097537910200463,0.00924321201617562,0.0633062115499107,25.401150753177703,0.06439024390243903,0.0025826015222938487,0.003465156486024271,192.21172360634543,129.75985131035856,108.39414689939828,124.81814610373465,192.21172360634543,131.79804938087423,C:\BPA\data\Gunshot\GS - 101.jpg,gunshot
371276.0,0.007406559208426428,147.21092224121094,52.2967529296875,14.0,247.0,146.0,75.0,221.0,0.3552504921390731,0.9582040637002677,0.30575636453743305,0.3053065643887566,9538.0,38.92598028936884,14.0,108.05689564669447,4353.0,190.27290137248644,0.011724431420291104,0.028762968788717827,0.3594044873139023,0.25015726567414553,3280.0,0.34388760746487734,0.08415716266379987,0.046177613144333454,0.0844046609431368,0.04594608088797667,0.08112780837507987,0.13575725095155478,-24.950221107705385,0.5087482088796474,0.05712047712363852,0.937363840045833,0.819047439397524,0.008751458576429404,0.05713986160620675,24.811026759945744,0.06471816283924843,0.002647478019036828,0.0037189340757266525,192.3846518492981,131.365983796421,110.29868345920555,118.78972516402892,192.3846518492981,128.4765255497258,C:\BPA\data\Gunshot\GS - 102.jpg,gunshot
438593.0,0.008749461378870093,171.2225341796875,58.773658752441406,14.0,247.0,192.0,82.0,233.0,0.34325889808115545,0.9294670566803238,0.3035958166227003,0.31005738805680894,36426.0,12.036155493328941,5.0,41.423337826475354,3060.0,726.6597510373444,0.00697946531821572,0.017040387383133872,0.6666666666666666,0.3330038983143908,28751.0,0.7892988524680173,0.15772865130341363,0.1152735100035099,0.1773245480494604,0.11950626243117911,0.11367506157020393,0.3428808770492291,-12.194683654217089,0.6025221560763624,0.1083401331103596,1.0,0.7044907206675558,0.0,0.10772525119420194,19.59714749342313,0.08276420882046533,0.0052853490416724025,0.0031543609942209705,206.00555868424712,157.28853857676708,151.73471760835216,82.62189319026979,206.00555868424712,132.228607159713,C:\BPA\data\Gunshot\GS - 103.jpg,gunshot
779747.0,0.015570027955271565,102.58836364746094,44.66069412231445,12.0,187.0,102.0,40.0,165.0,0.43533878598989645,0.9242715616019018,0.3008770793603566,0.3016144980359014,11411.0,68.33292437122076,16.0,1131.9515746639213,118956.0,227.85543130990416,0.15255717559669996,0.17036423352702865,0.2982210148102708,0.2540531066514766,3015.0,0.2642187363070721,0.06017178072421247,0.03876026132549853,0.060189243236474635,0.038393003858978605,0.05440658106236719,0.10635726298823088,-27.613891353231477,0.2384606801949863,0.017277425707334863,0.9132223477394005,0.7403537071403338,0.023508668821627974,0.12470423275786521,25.59864680454873,0.15815085158150852,0.0024562723870972325,0.004193161698113911,138.97581779731118,89.75057807211826,73.23905446253721,135.8592017667269,138.97581779731118,88.25135139987714,C:\BPA\data\Gunshot\GS - 104.jpg,gunshot
942141.0,0.0188127196485623,150.79031372070312,62.300289154052734,12.0,247.0,169.0,55.0,222.0,0.4131584264509733,0.963263734701717,0.3015387293409373,0.3056591317010936,106944.0,8.802822037701976,5.0,20.415052737059707,2631.0,2135.4632587859423,0.002794747022813676,0.00507005987833131,0.6396151256732495,0.3598612357869539,80788.0,0.7554233991621784,0.23457211519744467,0.1436701758939077,0.21903244228119603,0.12915633068192794,0.2462451461596013,0.42553937441225376,-6.499465692834904,0.4918053667126258,0.11797363994258432,1.0,0.6692748222621865,0.0,0.15538038599640933,20.812708030268855,0.14375987361769352,0.005427647886997483,0.003164915168235133,182.80210605418935,136.51974704423225,140.30469643078902,83.20537371794667,182.80210605418935,120.38686566023557,C:\BPA\data\Gunshot\GS - 105.jpg,gunshot
810710.0,0.01618829872204473,157.07669067382812,54.176387786865234,24.0,247.0,161.0,78.0,227.0,0.3449040542524491,0.9570625395276396,0.3042431942371501,0.3058331585893846,11110.0,72.97119711971197,17.0,1341.443802385315,139566.0,221.84504792332268,0.17215280433200528,0.19582958147796375,0.2707470747074707,0.2540954095409541,2727.0,0.24545454545454545,0.06022077237428866,0.0388519819696233,0.06032682969737916,0.03867190549864527,0.054394234302775964,0.10630200335331494,-27.496007158713994,0.23813940866647754,0.017247394403095195,0.9029640676048052,0.7342166697719563,0.022606382978723406,0.13312331233123312,24.956979423150123,0.13399503722084366,0.002521524462415074,0.004906790996990648,200.16022252100012,142.089522763997,121.22339677566578,111.20290732814446,200.16022252100012,136.25198344660853,C:\BPA\data\Gunshot\GS - 106.jpg,gunshot
413002.0,0.008246845047923322,172.1536865234375,35.3209342956543,71.0,247.0,176.0,121.0,216.0,0.20517094233514807,0.8916913595317569,0.3049597822770834,0.30587261078638844,7346.0,56.22134494963245,20.0,191.31286216473796,13437.0,146.685303514377,0.032534951404593684,0.04259785666897497,0.25823577457119523,0.2519738633269807,2304.0,0.313640076231963,0.06014775018463106,0.03947702021331244,0.060022726857821077,0.03953330503792269,0.05408568837450679,0.10650618681070978,-27.88914486243009,0.23192865894111894,0.016660823226922073,0.9291318029449206,0.765250938857596,0.01845018450184502,0.09365641165260005,26.564684270881546,0.15151515151515152,0.002523864550395556,0.004720497582599871,233.16488055747914,150.5967356090285,123.1281591856698,122.41297862964343,233.16488055747914,168.68716737449213,C:\BPA\data\Gunshot\GS - 107.jpg,gunshot
461064.0,0.00924643029038986,141.61224365234375,58.23157501220703,15.0,247.0,139.0,63.0,224.0,0.41120437823130906,0.9679208980262667,0.3011577568406989,0.3010775076778929,11281.0,40.8708447832639,15.0,103.42969959685645,3474.0,226.23536017968877,0.007534745718598719,0.019888778998143425,0.3154862157610141,0.2557397393848063,4372.0,0.3875542948320184,0.10613241534745263,0.05777378076805257,0.10632489954551197,0.058030549220165525,0.09735902565067518,0.18381972458776052,-22.238510923512493,0.6222671906720109,0.09132203848567784,0.9154798846078986,0.8406925120276977,0.003933689238550154,0.04352451023845404,25.17898653035407,0.03687888198757764,0.0033809409859623506,0.004018022488051242,185.44533080006246,125.9656034737043,107.19045512119793,121.00007591137022,185.44533080006246,124.34523948952857,C:\BPA\data\Gunshot\GS - 108.jpg,gunshot
493968.0,0.009906305150008022,107.79814910888672,55.27506637573242,12.0,205.0,108.0,31.0,184.0,0.5127645170153586,0.9488592091196272,0.3028030155799566,0.30112274479318496,11245.0,43.927434415295686,17.0,101.20288309648893,3029.0,225.5133964383122,0.0061320258156464845,0.015606400466430753,0.29728768341485107,0.2530013339261894,4085.0,0.36327256558470433,0.10576885639196372,0.05788146121097291,0.10602485329460211,0.058161451345993855,0.09670991798362391,0.18285800653877474,-21.871134948749926,0.620467317720986,0.09074898685329824,0.8667008462924615,0.8338875324999349,0.006281782829793599,0.05113383726100489,25.803671697017897,0.03825136612021858,0.0033344923962184436,0.0034248996004276927,145.86852184756907,93.83826685129401,79.8037747384446,136.19635482460401,145.86852184756907,100.21823276001685,C:\BPA\data\Gunshot\GS - 109.jpg,gunshot
